PATH,SLEEP,INJECTION,ANIMAL,SESSIONNO,SHANKNO
/run/media/mdalam/data2/lost+found/cAMP-project/Clustering-1/RatA14/RatA14OCTSD/RatA14d1shank2/RatA14d1shank2/RatA14d1shank2.GUI,SD,OCT,A14,1,2
/run/media/mdalam/data2/lost+found/cAMP-project/Clustering-1/RatA14/RatA14OCTSD/RatA14d1shank3/RatA14d1shank3/RatA14d1shank3.GUI,SD,OCT,A14,1,3
/run/media/mdalam/data2/lost+found/cAMP-project/Clustering-1/RatA14/RatA14OCTSD/RatA14d1shank4/RatA14d1shank4/RatA14d1shank4.GUI,SD,OCT,A14,1,4
/run/media/mdalam/data2/lost+found/cAMP-project/Clustering-1/RatA14/RatA14OCTSD/RatA14d1shank5/RatA14d1shank5/RatA14d1shank5.GUI,SD,OCT,A14,1,5
/run/media/mdalam/data2/lost+found/cAMP-project/Clustering-1/RatA14/RatA14OCTSD/RatA14d1shank6/RatA14d1shank6/RatA14d1shank6.GUI,SD,OCT,A14,1,6
/run/media/mdalam/data2/lost+found/cAMP-project/Clustering-1/RatA14/RatA14OCTSD/RatA14d1shank7/RatA14d1shank7/RatA14d1shank7.GUI,SD,OCT,A14,1,7
/run/media/mdalam/data2/lost+found/cAMP-project/Clustering-1/RatA14/RatA14OCTSD/RatA14d1shank8/RatA14d1shank8/RatA14d1shank8.GUI,SD,OCT,A14,1,8

/run/media/mdalam/data2/lost+found/cAMP-project/Clustering-1/RatA14/RatA14PBSSD/RatA14d2shank2/RatA14d2shank2/RatA14d2shank2.GUI,SD,CTRL,A14,2,2
/run/media/mdalam/data2/lost+found/cAMP-project/Clustering-1/RatA14/RatA14PBSSD/RatA14d2shank3/RatA14d2shank3/RatA14d2shank3.GUI,SD,CTRL,A14,2,3
/run/media/mdalam/data2/lost+found/cAMP-project/Clustering-1/RatA14/RatA14PBSSD/RatA14d2shank4/RatA14d2shank4/RatA14d2shank4.GUI,SD,CTRL,A14,2,4
/run/media/mdalam/data2/lost+found/cAMP-project/Clustering-1/RatA14/RatA14PBSSD/RatA14d2shank5/RatA14d2shank5/RatA14d2shank5.GUI,SD,CTRL,A14,2,5
